Id,state,phone_number,international_plan,voice_mail_plan,account_length,area_code,international_calls,number_of_voicemail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,churn
1,NY,1234567890,No,No,106,510,43,10,151.43611816711828,165,239.81894150018903,129,77.15363935284427,124,43.56442513406965,11,False
2,CA,1234567890,Yes,No,55,415,34,27,113.0416311467536,107,177.57239732795426,175,129.6357905229532,62,37.96042117282077,7,True
3,AK,1234567890,No,No,111,415,30,38,276.08363372594056,143,187.52064321458872,194,99.21051579808801,100,30.988491300609077,12,False
4,CA,1234567890,No,Yes,169,408,25,15,193.89107448672218,96,273.28043806059816,73,144.66863164149524,79,20.72980399367665,5,True
5,NY,1234567890,Yes,Yes,64,415,36,49,242.63608198307057,127,137.792693421165,97,130.124564635911,66,10.437638052257743,8,False
6,FL,1234567890,No,Yes,124,510,37,22,211.17685768651603,112,213.18332619616925,184,111.28914566232015,143,47.88716572017796,11,False
7,AK,1234567890,No,No,180,408,27,54,126.90515932446633,180,267.1940073447298,136,134.96457003855676,89,44.45388594929955,7,False
8,NY,1234567890,No,No,88,408,35,52,244.22564293822063,116,188.66141000759518,124,105.3277917856831,67,43.96791958457039,14,False
9,NY,1234567890,Yes,Yes,184,408,7,48,247.6012552857227,140,224.62258613495885,87,62.36228273127357,105,30.564051556750996,6,True
10,FL,1234567890,Yes,Yes,91,408,35,40,248.14661375409386,112,138.19001167792976,100,88.17458578490366,73,12.510777149404767,12,False
11,TX,1234567890,Yes,Yes,67,415,41,57,101.92072149403603,95,130.6527666550081,183,98.3230754303187,124,30.065340597204223,12,False
12,AK,1234567890,Yes,Yes,54,415,3,23,207.7310766788044,157,149.01187758542747,144,124.78031945953913,96,31.603143996501473,7,True
13,CA,1234567890,Yes,No,112,510,2,15,289.73336464633576,108,182.4664424174026,159,104.56725679313243,117,12.62129298553662,13,True
14,CA,1234567890,No,No,56,415,11,30,288.1899437622342,174,226.0219393377871,85,77.88419809897046,76,31.52852128091183,12,True
15,NY,1234567890,Yes,Yes,117,415,49,24,196.3755916548663,74,246.39441768700524,107,99.39046439163599,52,18.81269379729609,14,True
16,TX,1234567890,No,Yes,65,510,43,37,132.78047846177415,156,253.0902431762969,170,146.9584414414358,129,21.745410323222373,5,True
17,FL,1234567890,Yes,No,182,415,17,43,242.31624550981024,156,233.30327437105097,150,117.76047501054893,120,45.62572568784884,5,True
18,CA,1234567890,Yes,Yes,64,415,47,40,232.77977554356173,164,166.21629991746005,160,75.13210340668472,124,29.40120655341846,5,True
19,CA,1234567890,Yes,Yes,132,408,19,43,147.32163631311175,161,120.98636104606905,115,114.48105257665289,90,48.42972732940362,9,True
20,CA,1234567890,No,Yes,176,408,39,29,229.82141643420417,191,178.7269189098394,161,57.943352852593875,109,17.141726948851694,8,True
21,TX,1234567890,No,No,109,415,48,21,154.7371482870522,125,285.822713401231,87,116.20560980092776,73,48.81662852685733,10,False
22,TX,1234567890,Yes,Yes,107,408,5,47,285.1043228520074,127,178.1216797802607,192,141.58946337265826,69,30.2754684667078,13,True
23,TX,1234567890,No,Yes,162,408,32,46,118.57454265390854,74,162.95980055071692,166,71.31530825259125,105,29.893686614644054,5,False
24,CA,1234567890,No,No,194,415,7,16,144.20628009683873,135,280.7695120603007,179,132.4949046424766,130,36.45571624409904,12,False
25,NY,1234567890,Yes,No,195,510,46,52,158.66820206517173,91,196.71346848864818,82,95.96058175298873,118,43.7046309239349,7,False
26,NY,1234567890,No,Yes,110,510,6,46,233.78690495567378,112,183.8765442047753,87,134.09874563251063,121,49.25697730858258,5,True
27,AK,1234567890,Yes,No,65,415,28,23,294.9138586776479,182,163.9960499016018,172,132.80353570483788,138,15.735395563156063,14,False
28,TX,1234567890,Yes,Yes,167,408,5,40,251.16135891407816,178,167.4849489115774,161,90.92351734354834,143,48.26989932539009,12,True
29,CA,1234567890,No,No,51,415,24,47,281.45673983884734,143,103.17585671899548,77,77.16431664314351,61,12.901444615495539,9,False
30,CA,1234567890,Yes,Yes,80,408,18,29,205.79934480506984,155,156.86060291453163,139,104.69172294634265,87,19.526077841990762,14,True
31,NY,1234567890,Yes,No,76,510,31,51,145.89915795246904,85,296.52339907868816,158,122.226886391339,106,24.1357840703774,11,False
32,CA,1234567890,No,No,79,510,19,38,195.52009099943984,101,109.39507993018208,109,114.34864761614503,135,39.58352984540147,9,True
33,CA,1234567890,No,No,113,415,9,52,192.81122699333176,188,187.10225075620855,84,62.951054217458456,69,28.62306546132965,5,True
34,NY,1234567890,Yes,No,135,415,31,35,166.81549724980084,82,214.71911084941988,150,135.58559906685528,99,38.84718743447585,12,True
35,TX,1234567890,No,No,106,415,19,31,135.18182710105168,70,253.54544940892757,156,119.93354815305648,95,10.142800016842926,11,True
36,CA,1234567890,Yes,Yes,67,415,14,23,226.78655980119854,195,261.013145181015,104,59.8615989428702,90,34.160393301207364,8,False
37,TX,1234567890,No,No,191,415,34,22,173.22370295192252,90,152.49365820026392,144,106.23050431126319,70,49.81381436358318,9,True
38,NY,1234567890,No,No,180,415,5,35,278.1305814410721,130,294.962576133214,90,141.23128616480645,59,49.107482164471705,14,True
39,FL,1234567890,Yes,No,56,510,3,25,156.15763939727984,80,205.49867782901828,137,142.22545367317935,122,32.877381218059526,9,False
40,NY,1234567890,Yes,Yes,104,415,37,32,280.8301261390666,71,188.33018568205927,99,110.27790773778713,122,13.586077175465658,10,False
41,TX,1234567890,Yes,No,155,415,6,24,250.67161451526997,107,209.20561325751632,184,96.38606385555109,121,12.997401742149224,8,False
42,TX,1234567890,Yes,No,183,510,14,47,278.9636020613892,153,190.94228092279695,78,144.59604780290738,133,33.90001522409273,9,True
43,NY,1234567890,Yes,No,130,408,20,19,258.570852985069,119,228.02344505243292,179,123.85287117365205,143,20.388299869753418,7,True
44,TX,1234567890,No,Yes,102,408,15,18,122.33128064778684,97,246.62615211167582,92,119.32986006993974,60,38.97060712669307,11,False
45,FL,1234567890,No,Yes,189,415,38,58,258.5971418587404,162,142.92773936979108,194,50.031205180229435,67,12.930929477055235,13,True
46,NY,1234567890,Yes,Yes,105,408,12,30,285.9002803473834,136,292.3610037215678,153,123.1095796309353,74,37.72677701015179,8,False
47,TX,1234567890,No,Yes,63,415,24,42,289.1898823725543,110,158.31185137163783,147,91.76778628571537,59,46.936185927727266,12,True
48,TX,1234567890,Yes,No,76,510,47,20,124.05480862615674,194,245.0201524296269,110,129.60416722103466,113,36.3890017236518,9,False
49,AK,1234567890,No,No,121,510,10,21,279.18164214244507,114,150.8906860322542,174,130.12439854999934,93,26.17452758602921,8,True
50,NY,1234567890,No,Yes,126,510,5,23,121.22299033603969,127,152.33056972668436,126,76.74856097520774,79,22.891241241840724,9,True
51,CA,1234567890,Yes,Yes,199,415,16,54,202.08632242998544,172,186.82653901594705,123,101.3059094797664,145,11.45092004588767,10,True
52,FL,1234567890,Yes,No,69,415,11,33,267.0664595621903,102,174.25766153031748,76,118.42827036641263,52,22.33902821245509,8,False
53,CA,1234567890,No,Yes,91,415,42,32,203.80896505528645,122,174.0536017253056,72,110.97096475505373,141,10.2113955731879,9,True
54,CA,1234567890,No,Yes,163,510,28,16,191.9896709868505,156,247.7375293929832,192,52.61833852359089,61,42.29507634859563,13,False
55,AK,1234567890,Yes,No,190,510,32,54,271.1634220217774,82,185.13265165387963,138,73.12153961534521,50,36.78103638255228,14,False
56,TX,1234567890,No,No,178,415,18,15,280.16172027500977,106,284.8878375916496,82,83.29184450653763,97,19.83465373966478,11,True
57,CA,1234567890,Yes,Yes,79,408,26,10,254.79036465732457,109,102.98183552188985,91,129.7014577938849,145,43.31226946497496,13,True
58,CA,1234567890,No,No,157,415,37,50,249.47723736036207,189,144.35551295294337,72,67.98713184896499,108,15.35761473036207,9,True
59,FL,1234567890,No,No,93,408,2,43,253.53284222099376,194,114.55860578315962,191,131.43432405543973,82,28.7484634161998,14,False
60,AK,1234567890,Yes,Yes,53,510,17,10,106.22367505382739,80,213.9882901281047,91,53.54964268777738,112,45.85409736069417,8,True
61,TX,1234567890,No,Yes,142,510,20,28,136.12615432128524,120,199.70692893530259,166,120.60465613721439,132,18.835706952172295,12,False
62,AK,1234567890,Yes,Yes,164,415,20,24,266.22085243472355,72,280.11409651702417,107,80.03644927649444,117,44.39953251718777,11,True
63,NY,1234567890,No,Yes,117,510,38,50,256.2896151225517,190,114.30310165965287,198,138.97309005840333,120,49.49187934044216,6,True
64,NY,1234567890,Yes,Yes,194,415,48,32,102.84552638044727,179,200.60729420148027,143,131.85621648417055,68,28.089619879781967,6,False
65,FL,1234567890,Yes,No,112,415,47,56,231.48623900389106,106,174.13365074917022,131,102.73446384671217,91,38.414983591237956,8,True
66,FL,1234567890,Yes,Yes,55,510,21,41,299.1288064675371,126,199.24226604574562,137,144.0170609349761,132,19.890408339955307,8,False
67,TX,1234567890,Yes,No,120,408,12,53,269.018307162945,197,284.13436449493935,167,131.6302086985147,107,38.16730269472776,8,True
68,NY,1234567890,No,No,182,510,26,25,263.33435517564544,168,101.43315042154666,75,129.99173370530517,144,12.859725170315564,5,True
69,AK,1234567890,Yes,Yes,184,510,16,24,158.1200619973354,175,170.85777734297648,175,77.36358281835925,79,14.167449504735877,6,True
70,FL,1234567890,No,No,123,408,12,42,143.4458570584285,106,138.55921045281403,171,134.08265492328144,57,30.643890619705672,14,True
71,AK,1234567890,Yes,No,157,415,5,57,133.54540262726192,175,142.616467315274,97,74.54003419246791,74,34.759052111508964,8,False
72,FL,1234567890,No,No,182,415,8,22,178.48783925337486,122,169.6017651431489,134,127.18465074735366,110,11.51128642188989,9,False
73,TX,1234567890,No,Yes,67,510,29,35,240.51433032962947,177,101.70329371187803,93,114.95767577639502,112,20.75673588878669,7,False
74,AK,1234567890,Yes,Yes,154,408,9,33,275.76842850414835,169,244.66377472117125,94,114.36572824964324,53,16.607127063439098,10,False
75,NY,1234567890,No,No,175,415,3,23,248.01720131559492,114,182.37565786140007,197,115.53196866264427,65,10.854250995236923,12,True
76,CA,1234567890,No,No,159,415,46,37,102.76002392184745,99,232.6392203207286,92,141.38833661992206,87,22.424538810808492,8,False
77,FL,1234567890,No,Yes,53,408,32,16,124.57094612294964,179,287.92562419049045,123,62.35362087455681,75,16.05950016436744,14,False
78,TX,1234567890,Yes,Yes,153,408,11,56,280.0790712825467,130,244.03085543037017,163,114.74456827081407,85,40.63948297405153,10,False
79,AK,1234567890,No,Yes,175,408,18,25,227.50787205173842,140,175.878103669945,169,57.80536726995483,116,18.606413602929152,8,False
80,TX,1234567890,No,No,74,408,33,20,263.325251957299,175,281.14420943881277,73,125.05138075964892,107,26.380283262698963,8,False
81,NY,1234567890,Yes,No,53,415,2,22,243.748952860082,191,158.0832524362179,148,76.04031320670506,121,37.23126320910282,10,True
82,AK,1234567890,No,No,75,408,1,32,217.11220585221318,84,274.49169198542137,160,89.02267495486038,55,14.256267604603856,6,True
83,FL,1234567890,No,Yes,65,510,41,25,140.54907983965495,142,164.0171468738644,90,61.65307370690518,80,29.24201903143264,13,True
84,CA,1234567890,No,No,108,510,23,11,100.62362220765446,96,131.08831805707175,153,126.49005749764176,118,16.04822079551014,11,True
85,NY,1234567890,Yes,Yes,185,510,34,22,295.8795920927689,187,244.57530408623367,143,123.8467112588719,141,22.754390412343177,12,True
86,NY,1234567890,Yes,No,51,415,2,46,145.38714573136346,186,206.82779259339748,75,145.41639118960182,124,17.17629989451465,5,True
87,AK,1234567890,No,No,99,408,21,56,274.0359693977695,134,297.3780186203518,167,130.4405743988853,115,41.8342106619565,6,True
88,TX,1234567890,Yes,Yes,144,415,14,55,236.3243349230657,150,265.7352326731735,168,140.00655558640017,93,36.41592840545144,10,True
89,NY,1234567890,Yes,No,94,408,23,20,110.22380291432832,83,260.6909212009083,75,84.41020930858737,118,37.84869920474106,12,True
90,NY,1234567890,Yes,No,106,415,43,16,246.06677604523637,132,267.3161266146121,195,66.08587664381173,97,32.41076964600812,6,False
91,AK,1234567890,Yes,No,78,510,5,30,284.72208425716667,194,228.51240736656732,95,130.61005412776672,146,12.111197753279255,11,False
92,TX,1234567890,No,No,153,415,37,30,147.2378201626334,104,176.27644774215975,178,140.49934066161308,107,35.17239232170487,8,False
93,NY,1234567890,Yes,No,82,415,11,52,269.4284666011258,180,196.91319274216897,76,135.56921759796074,148,47.43414253214328,13,False
94,AK,1234567890,No,Yes,165,510,24,53,210.143609455619,89,234.12673469475249,113,70.67411763632748,142,34.206002259798026,11,True
95,TX,1234567890,Yes,No,85,415,2,45,229.1805684954405,102,130.25055649615024,178,90.0629057237422,108,13.04798401819978,8,True
96,FL,1234567890,Yes,No,111,510,7,58,226.92299579420265,180,181.2012520154307,98,93.64835477263584,73,41.52997144800928,14,False
97,AK,1234567890,Yes,No,141,510,29,44,176.37126655453605,109,231.8427357551592,165,133.40786074277696,64,41.415902268126544,8,True
98,CA,1234567890,Yes,Yes,139,415,43,46,242.82455672325335,175,109.44472902218723,121,72.71458903835007,133,37.40878797786988,6,False
99,NY,1234567890,No,No,158,408,21,57,285.60970637082306,73,142.57687640386732,182,89.13150790997118,113,49.24331052619203,5,False
100,AK,1234567890,Yes,Yes,55,415,48,57,160.2510836357947,88,171.93099022164307,160,83.36349938913968,88,30.4880325705615,13,False
